position,doi,publicationDate,versionNumber,apiVersionCount,fileCount,tabularCount,extensions,tabularFiles,relatedPublicationISSN,errors
1,doi:10.5061/dryad.fttdz0980,2026-08-28,8,2,2,1,md xlsx,micro_data_compiled.xlsx,1752-0894,
2,doi:10.5061/dryad.rv15dv4q9,2026-08-28,4,1,2,1,csv md,os_cells_new.csv,0094-8373,
3,doi:10.5061/dryad.4mw6m90r1,2026-08-28,4,2,3,1,csv md r,OpilionesChemicalCues_v2(data).csv,0376-6357,
4,doi:10.5061/dryad.vdncjszbg,2026-08-28,3,1,5,1,csv md zip,band_wavelengths.csv,,
5,doi:10.5061/dryad.p5hqbzkz7,2026-08-28,7,1,2,0,md zip,,2041-210X,
6,doi:10.5061/dryad.wwpzgmt01,2026-08-28,4,1,2,0,md prism,,1554-8929,
7,doi:10.5061/dryad.hqbzkh1vv,2026-08-28,9,1,21,19,csv md r xlsx,data_complete_article_2008.csv data_complete_article_published_2013.csv data_complete_article_published_2014.csv data_complete_article_published_2015.csv data_complete_article_published_2016.csv data_complete_article_published_2017.csv data_complete_article_published_2018.csv data_complete_article_published_2019.csv data_complete_article_published_2020.csv data_complete_article_published_2021.csv data_complete_article_published_2022.csv data_complete_article_published_2023.csv data_complete_article_published_2024.csv data_complete.csv Data_for_map_in_figure_1.csv Data_for_map_in_figure_4.csv data_slopes_1980_2009_2008_batch.xlsx data_slopes_1980_2009.xlsx data_slopes_2008_Article.xlsx,1466-822X,
8,doi:10.5061/dryad.djh9w0wf0,2026-08-28,6,1,7,6,md xlsx,ECS-BA_(Affinity).xlsx ECS-BA_(Whole_Venom_proteome).xlsx ECS-PO_(Affinity).xlsx ECS-PO_(Whole_Venom_proteome).xlsx ECS-SA_(Affinity).xlsx ECS-SA_(Whole_Venom_proteome).xlsx,2072-6651,
9,doi:10.5061/dryad.s7h44j1pg,2026-08-28,3,1,12,1,csv fasta md tre txt,Voucher_table2.csv,0024-4074,
10,doi:10.5061/dryad.d2547d8b7,2026-08-28,10,1,2,1,csv md,Porcine_data.csv,,
11,doi:10.5061/dryad.2ngf1vj4r,2026-08-28,2,1,2,0,gz md,,,
